id,isim,mahalle,enlem,boylam,oda_tipi,fiyat,yorum_sayisi
3874859,Fully Furnished & Stylish Flat in centre.,Beyoglu,41.0341,28.9801,Entire home/apt,309,43
3875806,2 Bedrooms Flat in Center Besiktas,Besiktas,41.04763,29.00261,Entire home/apt,308,133
3875929,TRIPLEX HOUSE IN CIHANGIR BEYOGLU,Beyoglu,41.03187,28.97885,Entire home/apt,617,1
3876515,"Central,cozy with private bathroom ",Sisli,41.04525,28.98347,Private room,295,0
3878761,Büyükada sahilinde deniz manzaralı çatı katı,Adalar,40.87253,29.13185,Private room,350,0
3879252,Istanbul - Taksim (Private Room),Beyoglu,41.03452,28.97387,Private room,192,0
3885996,Apart Room * 1 minute walk to metro & ferry stop,Fatih,41.02049,28.96286,Entire home/apt,274,0
3886798,Flat in Besiktas & Nisantasi Area,Besiktas,41.04674,28.99924,Entire home/apt,370,0
3888988,Special Offer for Visitors!,Kadikoy,40.98666,29.03337,Private room,75,33
3892816,DOUBLE ROOM IN PERFECT LOCATION,Kadikoy,40.98983,29.03097,Private room,267,0
3897880,10 Minutes to TAXIM,Beyoglu,41.0355,28.97066,Private room,233,3
3899917,"Bosphorus, Pool, Garden Terrace in Soytez Beykoz",Beykoz,41.10981,29.11261,Entire home/apt,1913,2
3900930,Cozy Friendly Room,Beyoglu,41.0328,28.9829,Private room,89,2
3903174,Modern flat in centr of Sultanahmet,Fatih,41.00608,28.97022,Entire home/apt,528,2
3904880,Explore Istanbul's Asian side !,Kadikoy,40.97492,29.0546,Entire home/apt,151,0
3905147,With a pool and gorgeous views!!!,Adalar,40.86137,29.11606,Entire home/apt,165,10
3905247,"Central, Private Room with Garden",Sisli,41.06195,28.98384,Private room,123,0
3908846,Taksim'de Ege rüzgarı! ,Beyoglu,41.03473,28.98432,Private room,514,0
3909044,Taksim'de 3 kişilik modern oda!,Beyoglu,41.03425,28.98156,Private room,583,0
3912501,Etiler | Site İçerisinde Ferah Ev,Besiktas,41.08457,29.034,Private room,384,0
3914581,Apart 1707,Bakirkoy,40.97981,28.87768,Entire home/apt,583,0
3919180,Very Central Flat With Garden,Beyoglu,41.03064,28.97965,Entire home/apt,514,2
3920340,The accomodation is Taksim/İstanbul,Beyoglu,41.03618,28.9815,Private room,267,0
